County,"Total
Pre-Registered",Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
Alameda," 6,958"," 3,136", 303, 63, 27, 38, 44, 82, 39," 3,226"
Alpine, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
Amador, 44, 6, 13, 0, 0, 1, 0, 0, 1, 23
Butte, 446, 134, 75, 3, 3, 6, 4, 3, 1, 217
Calaveras, 121, 24, 33, 7, 0, 3, 1, 7, 0, 46
Colusa, 32, 7, 6, 3, 0, 0, 0, 0, 0, 16
Contra Costa," 5,092"," 1,875", 334, 77, 20, 40, 30, 146, 6," 2,564"
Del Norte, 52, 6, 8, 3, 0, 1, 0, 0, 0, 34
El Dorado, 414, 91, 76, 8, 3, 11, 2, 0, 1, 222
Fresno," 3,876", 846, 470, 84, 11, 39, 56, 4, 8," 2,358"
Glenn, 102, 18, 24, 0, 1, 1, 1, 0, 0, 57
Humboldt, 338, 74, 60, 10, 1, 9, 4, 2, 0, 178
Imperial, 446, 105, 41, 15, 1, 1, 5, 38, 1, 239
Inyo, 26, 8, 2, 0, 0, 1, 1, 0, 0, 14
Kern," 2,750", 540, 426, 52, 7, 21, 18, 42, 13," 1,631"
Kings, 204, 56, 40, 5, 1, 4, 2, 11, 0, 85
Lake, 96, 18, 17, 3, 0, 2, 0, 0, 0, 56
Lassen, 31, 1, 12, 1, 0, 0, 0, 0, 0, 17
Los Angeles," 29,592"," 10,324"," 1,808", 487, 95, 217, 247," 1,185", 111," 15,118"
Madera, 469, 99, 52, 8, 2, 4, 6, 2, 2, 294
Marin," 1,148", 572, 64, 14, 11, 12, 1, 14, 1, 459
Mariposa, 16, 2, 4, 0, 0, 1, 0, 0, 0, 9
Mendocino, 152, 47, 20, 2, 0, 0, 0, 5, 0, 78
Merced," 1,303", 279, 136, 21, 3, 9, 6, 1, 4, 844
Modoc, 10, 1, 3, 0, 0, 0, 0, 0, 0, 6
Mono, 17, 5, 1, 1, 0, 0, 0, 0, 0, 10
Monterey," 1,881", 629, 129, 28, 8, 10, 17, 103, 0, 957
Napa, 463, 149, 48, 7, 6, 4, 3, 11, 0, 235
Nevada, 198, 60, 34, 6, 4, 2, 0, 0, 0, 92
Orange," 11,508"," 3,097"," 1,663", 176, 41, 133, 78, 0, 18," 6,302"
Placer," 2,165", 493, 552, 34, 19, 134, 6, 26, 5, 896
Plumas, 28, 6, 9, 0, 0, 1, 0, 0, 0, 12
Riverside," 7,751"," 2,007"," 1,271", 134, 33, 91, 69, 208, 38," 3,900"
Sacramento," 4,565"," 1,391", 476, 91, 22, 53, 52, 195, 10," 2,275"
San Benito, 223, 64, 31, 9, 0, 4, 1, 0, 0, 114
San Bernardino," 6,768"," 1,708", 746, 129, 27, 61, 62, 272, 40," 3,723"
San Diego," 11,052"," 3,184"," 1,286", 214, 66, 92, 103, 223, 36," 5,848"
San Francisco," 1,692", 804, 51, 16, 6, 5, 9, 44, 0, 757
San Joaquin," 3,354", 976, 295, 33, 17, 39, 22, 91, 18," 1,863"
San Luis Obispo, 889, 212, 167, 12, 7, 18, 5, 15, 5, 448
San Mateo," 2,601"," 1,138", 125, 50, 4, 20, 13, 50, 7," 1,194"
Santa Barbara," 1,646", 531, 171, 22, 4, 20, 7, 19, 4, 868
Santa Clara," 7,197"," 2,787", 359, 73, 24, 48, 33, 6, 5," 3,862"
Santa Cruz," 1,167", 439, 88, 17, 11, 17, 8, 0, 3, 584
Shasta, 472, 59, 149, 15, 0, 7, 1, 1, 4, 236
Sierra, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
Siskiyou, 84, 6, 17, 1, 0, 1, 0, 0, 0, 59
Solano," 1,555", 535, 105, 26, 8, 21, 15, 16, 3, 826
Sonoma," 1,570", 569, 110, 18, 13, 23, 12, 72, 6, 747
Stanislaus," 2,144", 611, 247, 32, 4, 32, 11, 57, 23," 1,127"
Sutter, 194, 31, 26, 2, 0, 1, 0, 1, 45, 88
Tehama, 112, 15, 25, 3, 0, 0, 1, 0, 3, 65
Trinity, 6, 0, 2, 0, 0, 1, 0, 0, 1, 2
Tulare," 1,398", 300, 193, 22, 3, 13, 10, 52, 10, 795
Tuolumne, 132, 18, 39, 1, 2, 2, 1, 0, 0, 69
Ventura," 3,844"," 1,207", 445, 67, 22, 47, 26, 40, 5," 1,985"
Yolo, 766, 250, 67, 20, 1, 4, 8, 13, 2, 401
Yuba, 133, 19, 25, 3, 0, 1, 1, 0, 0, 84
State Total," 131,298"," 41,569"," 12,979"," 2,128", 538," 1,326"," 1,002"," 3,057", 479," 68,220"
